finishedGames,avg score last 100,loses of last 100,actionFreq
100,-0.56,6,"defaultdict(<type 'int'>, {0: 6440, 1: 3717, 2: 2429, 3: 4569, 4: 12056})"
200,-0.66,7,"defaultdict(<type 'int'>, {0: 7277, 1: 18579, 2: 2429, 3: 13657, 4: 16180})"
300,-0.37,4,"defaultdict(<type 'int'>, {0: 7277, 1: 46245, 2: 2429, 3: 15305, 4: 16180})"
400,-6.55,71,"defaultdict(<type 'int'>, {0: 8721, 1: 48681, 2: 4161, 3: 23819, 4: 18480})"
500,-0.75,8,"defaultdict(<type 'int'>, {0: 8721, 1: 48681, 2: 4161, 3: 52465, 4: 18480})"
600,-6.91,75,"defaultdict(<type 'int'>, {0: 8721, 1: 51455, 2: 4161, 3: 61717, 4: 20564})"
700,-5.81,62,"defaultdict(<type 'int'>, {0: 8721, 1: 52581, 2: 4161, 3: 76977, 4: 20564})"
800,-5.25,59,"defaultdict(<type 'int'>, {0: 8721, 1: 55469, 2: 4161, 3: 91605, 4: 20564})"
900,-6.48,71,"defaultdict(<type 'int'>, {0: 8721, 1: 60873, 2: 4161, 3: 101503, 4: 20564})"
1000,-5.31,60,"defaultdict(<type 'int'>, {0: 8721, 1: 65565, 2: 4161, 3: 113533, 4: 20564})"
1100,-0.58,6,"defaultdict(<type 'int'>, {0: 8721, 1: 65565, 2: 4161, 3: 142850, 4: 20564})"
1200,-5.84,67,"defaultdict(<type 'int'>, {0: 8721, 1: 70873, 2: 4161, 3: 153076, 4: 20564})"
1300,-5.77,65,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 165662, 4: 20564})"
1400,-0.57,6,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 194843, 4: 20564})"
1500,-0.83,9,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 223754, 4: 20564})"
1600,-0.73,8,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 252825, 4: 20564})"
1700,-0.46,5,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 281963, 4: 20564})"
1800,-0.37,4,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 311285, 4: 20564})"
1900,-0.56,6,"defaultdict(<type 'int'>, {0: 8721, 1: 74245, 2: 4161, 3: 340292, 4: 20564})"
2000,-6.0,68,"defaultdict(<type 'int'>, {0: 8721, 1: 77093, 2: 4161, 3: 352562, 4: 20564})"
2100,-4.14,47,"defaultdict(<type 'int'>, {0: 8721, 1: 77093, 2: 4161, 3: 372392, 4: 20564})"
2200,-4.76,54,"defaultdict(<type 'int'>, {0: 8721, 1: 77093, 2: 4161, 3: 390798, 4: 20564})"
